date,precipitation,precipitation_normal
19980401,0.04,1.81
19980402,0.05,1.82
19980403,0.05,1.83
19980404,0.05,1.83
19980405,0.05,1.84
19980406,0.05,1.85
19980407,0.05,1.86
19980408,0.05,1.86
19980409,0.05,1.87
19980410,0.05,1.88
19980411,0.05,1.88
19980412,0.05,1.89
19980413,0.05,1.90
19980414,0.05,1.91
19980415,0.05,1.92
19980416,0.05,1.92
19980417,0.05,1.93
19980418,0.05,1.94
19980419,0.05,1.94
19980420,0.05,1.95
19980421,0.05,1.95
19980422,0.05,1.96
19980423,0.05,1.96
19980424,0.05,1.97
19980425,0.05,1.97
19980426,0.10,1.98
19980427,0.10,1.98
19980428,0.10,1.98
19980429,0.10,1.99
19980430,0.10,1.99
19980501,0.10,1.99
19980502,0.10,2.00
19980503,0.10,2.00
19980504,0.10,2.01
19980505,0.10,2.01
19980506,0.10,2.02
19980507,0.10,2.02
19980508,0.10,2.03
19980509,0.10,2.03
19980510,0.10,2.04
19980511,0.10,2.04
19980512,0.10,2.05
19980513,0.10,2.05
19980514,0.10,2.06
19980515,0.10,2.06
19980516,0.10,2.07
19980517,0.10,2.07
19980518,0.10,2.08
19980519,0.10,2.08
19980520,0.10,2.09
19980521,0.10,2.09
19980522,0.10,2.10
19980523,0.10,2.10
19980524,0.10,2.11
19980525,0.10,2.11
19980526,0.10,2.12
19980527,0.10,2.13
19980528,0.10,2.14
19980529,0.10,2.14
19980530,0.10,2.15
19980531,0.10,2.16
19980601,0.10,2.16
19980602,0.10,2.17
19980603,0.10,2.17
19980604,0.10,2.17
19980605,0.10,2.18
19980606,0.10,2.18
19980607,0.10,2.18
19980608,0.10,2.19
19980609,0.10,2.19
19980610,0.10,2.19
19980611,0.10,2.20
19980612,0.10,2.20
19980613,0.10,2.21
19980614,0.10,2.21
19980615,0.10,2.22
19980616,0.10,2.22
19980617,0.10,2.23
19980618,0.10,2.24
19980619,0.10,2.25
19980620,0.10,2.26
19980621,0.10,2.27
19980622,0.10,2.28
19980623,0.10,2.29
19980624,0.10,2.31
19980625,0.10,2.32
19980626,0.10,2.33
19980627,0.10,2.35
19980628,0.10,2.37
19980629,0.10,2.38
19980630,0.10,2.40
19980701,0.10,2.43
19980702,0.10,2.45
19980703,0.10,2.48
19980704,0.30,2.51
19980705,0.30,2.54
19980706,1.01,2.57
19980707,1.06,2.61
19980708,1.06,2.64
19980709,1.06,2.68
19980710,1.06,2.72
19980711,1.06,2.76
19980712,1.06,2.80
19980713,1.06,2.84
19980714,1.06,2.89
19980715,1.06,2.94
19980716,1.07,2.98
19980717,1.08,3.03
19980718,1.08,3.08
19980719,1.13,3.13
19980720,1.13,3.18
19980721,1.37,3.23
19980722,1.68,3.28
19980723,1.68,3.33
19980724,1.68,3.38
19980725,1.68,3.43
19980726,1.68,3.48
19980727,1.71,3.53
19980728,1.71,3.58
19980729,1.76,3.63
19980730,1.77,3.68
19980731,1.83,3.73
19980801,1.85,3.78
19980802,1.85,3.84
19980803,1.85,3.89
19980804,1.85,3.94
19980805,1.85,3.99
19980806,1.85,4.04
19980807,1.85,4.08
19980808,1.85,4.13
19980809,1.85,4.18
19980810,1.85,4.22
19980811,1.85,4.27
19980812,1.85,4.31
19980813,1.85,4.35
19980814,1.85,4.39
19980815,1.85,4.42
19980816,1.85,4.46
19980817,1.85,4.50
19980818,1.85,4.54
19980819,1.85,4.57
19980820,2.19,4.61
19980821,2.19,4.64
19980822,2.19,4.68
19980823,2.19,4.72
19980824,2.19,4.76
19980825,2.19,4.79
19980826,2.19,4.83
19980827,2.19,4.87
19980828,2.23,4.90
19980829,2.23,4.94
19980830,2.23,4.97
19980831,2.23,5.01
19980901,2.23,5.04
19980902,2.23,5.08
19980903,2.26,5.11
19980904,2.70,5.15
19980905,2.70,5.19
19980906,2.70,5.22
19980907,2.70,5.26
19980908,2.70,5.30
19980909,2.70,5.33
19980910,2.70,5.37
19980911,2.70,5.40
19980912,2.70,5.43
19980913,2.70,5.46
19980914,2.70,5.49
19980915,2.71,5.52
19980916,2.71,5.54
19980917,2.71,5.57
19980918,2.71,5.60
19980919,2.71,5.62
19980920,2.71,5.65
19980921,2.71,5.67
19980922,2.71,5.69
19980923,2.71,5.71
19980924,2.71,5.73
19980925,2.71,5.75
19980926,2.71,5.78
19980927,2.71,5.81
19980928,2.71,5.84
19980929,2.71,5.86
19980930,2.71,5.89
19981001,2.71,5.92
19981002,2.71,5.94
19981003,2.71,5.97
19981004,2.71,5.99
19981005,2.71,6.01
19981006,2.71,6.03
19981007,2.71,6.06
19981008,2.71,6.08
19981009,2.71,6.11
19981010,2.71,6.13
19981011,2.71,6.16
19981012,2.71,6.18
19981013,2.76,6.21
19981014,2.76,6.23
19981015,2.76,6.26
19981016,2.76,6.29
19981017,2.76,6.31
19981018,2.76,6.34
19981019,2.76,6.37
19981020,2.76,6.39
19981021,3.06,6.42
19981022,3.27,6.45
19981023,3.27,6.47
19981024,3.27,6.49
19981025,3.27,6.51
19981026,3.40,6.53
19981027,3.40,6.54
19981028,3.40,6.56
19981029,3.40,6.58
19981030,3.40,6.59
19981031,3.40,6.61
19981101,3.40,6.63
19981102,3.40,6.65
19981103,3.40,6.66
19981104,3.40,6.68
19981105,3.40,6.69
19981106,3.40,6.71
19981107,3.40,6.72
19981108,3.40,6.74
19981109,3.55,6.75
19981110,3.55,6.77
19981111,3.55,6.78
19981112,3.57,6.80
19981113,3.57,6.81
19981114,3.57,6.83
19981115,3.57,6.85
19981116,3.57,6.87
19981117,3.57,6.88
19981118,3.57,6.90
19981119,3.57,6.92
19981120,3.57,6.94
19981121,3.57,6.96
19981122,3.57,6.97
19981123,3.57,6.99
19981124,3.57,7.01
19981125,3.57,7.03
19981126,3.57,7.05
19981127,3.57,7.07
19981128,3.72,7.09
19981129,3.90,7.11
19981130,3.90,7.13
19981201,3.90,7.16
19981202,4.24,7.19
19981203,4.24,7.22
19981204,4.24,7.26
19981205,4.24,7.29
19981206,4.31,7.32
19981207,4.31,7.35
19981208,4.31,7.38
19981209,4.31,7.41
19981210,4.36,7.45
19981211,4.36,7.48
19981212,4.36,7.51
19981213,4.36,7.54
19981214,4.36,7.57
19981215,4.36,7.59
19981216,4.36,7.62
19981217,4.44,7.65
19981218,4.44,7.68
19981219,4.44,7.70
19981220,4.44,7.73
19981221,4.44,7.75
19981222,4.44,7.78
19981223,4.44,7.80
19981224,4.44,7.83
19981225,4.44,7.85
19981226,4.44,7.87
19981227,4.44,7.90
19981228,4.44,7.92
19981229,4.44,7.94
19981230,4.44,7.96
19981231,4.44,7.98
19990101,0.00,0.02
19990102,0.00,0.04
19990103,0.00,0.06
19990104,0.00,0.08
19990105,0.00,0.10
19990106,0.00,0.12
19990107,0.00,0.14
19990108,0.00,0.16
19990109,0.00,0.19
19990110,0.00,0.21
19990111,0.00,0.23
19990112,0.00,0.25
19990113,0.00,0.27
19990114,0.00,0.30
19990115,0.00,0.32
19990116,0.00,0.34
19990117,0.00,0.37
19990118,0.00,0.39
19990119,0.00,0.42
19990120,0.00,0.44
19990121,0.00,0.46
19990122,0.00,0.49
19990123,0.00,0.51
19990124,0.00,0.53
19990125,0.00,0.56
19990126,T,0.58
19990127,T,0.60
19990128,T,0.63
19990129,T,0.65
19990130,T,0.68
19990131,T,0.71
19990201,T,0.74
19990202,T,0.76
19990203,T,0.79
19990204,T,0.81
19990205,T,0.83
19990206,T,0.85
19990207,T,0.88
19990208,T,0.90
19990209,T,0.92
19990210,T,0.94
19990211,T,0.97
19990212,T,0.99
19990213,T,1.01
19990214,T,1.03
19990215,T,1.05
19990216,T,1.07
