date,min,max,normal_min,normal_max
19980101,34.0,62.0,33.0,58.5
19980102,37.0,64.0,33.0,58.6
19980103,34.0,65.0,33.0,58.6
19980104,38.0,58.0,33.1,58.7
19980105,34.0,57.0,33.2,58.8
19980106,25.0,53.0,33.2,59.0
19980107,25.0,54.0,33.3,59.1
19980108,23.0,48.0,33.3,59.2
19980109,24.0,58.0,33.4,59.3
19980110,31.0,61.0,33.4,59.5
19980111,35.0,56.0,33.5,59.6
19980112,30.0,57.0,33.6,59.7
19980113,30.0,58.0,33.6,59.9
19980114,30.0,59.0,33.7,60.1
19980115,25.0,58.0,33.7,60.2
19980116,38.0,65.0,33.8,60.4
19980117,35.0,67.0,33.8,60.5
19980118,32.0,66.0,33.9,60.7
19980119,33.0,69.0,34.0,60.9
19980120,37.0,61.0,34.0,61.1
19980121,39.0,59.0,34.1,61.2
19980122,28.0,59.0,34.1,61.4
19980123,26.0,63.0,34.2,61.6
19980124,31.0,65.0,34.3,61.7
19980125,31.0,69.0,34.3,61.9
19980126,31.0,68.0,34.4,62.1
19980127,31.0,66.0,34.4,62.3
19980128,30.0,68.0,34.5,62.5
19980129,30.0,69.0,34.6,62.6
19980130,32.0,61.0,34.7,62.8
19980131,29.0,60.0,34.7,63.0
19980201,28.0,64.0,34.8,63.2
19980202,31.0,65.0,34.9,63.4
19980203,37.0,73.0,35.0,63.5
19980204,40.0,59.0,35.1,63.7
19980205,36.0,55.0,35.2,63.9
19980206,27.0,60.0,35.3,64.1
19980207,35.0,63.0,35.4,64.3
19980208,35.0,64.0,35.5,64.5
19980209,38.0,53.0,35.7,64.6
19980210,37.0,56.0,35.8,64.8
19980211,31.0,56.0,35.9,65.0
19980212,33.0,60.0,36.1,65.2
19980213,34.0,60.0,36.2,65.4
19980214,40.0,61.0,36.4,65.6
19980215,39.0,56.0,36.5,65.8
19980216,32.0,54.0,36.7,66.0
19980217,30.0,52.0,36.8,66.2
19980218,39.0,48.0,37.0,66.4
19980219,31.0,56.0,37.2,66.6
19980220,37.0,52.0,37.4,66.9
19980221,36.0,53.0,37.6,67.1
19980222,33.0,61.0,37.7,67.3
19980223,34.0,69.0,37.9,67.5
19980224,41.0,75.0,38.1,67.8
19980225,39.0,52.0,38.3,68.0
19980226,33.0,55.0,38.5,68.2
19980227,37.0,55.0,38.7,68.5
19980228,25.0,56.0,38.9,68.7
19980301,27.0,60.0,39.1,69.0
19980302,32.0,66.0,39.3,69.3
19980303,30.0,70.0,39.5,69.5
19980304,35.0,70.0,39.7,69.8
19980305,38.0,72.0,39.9,70.1
19980306,43.0,68.0,40.1,70.3
19980307,36.0,55.0,40.3,70.6
19980308,28.0,58.0,40.5,70.9
19980309,29.0,66.0,40.7,71.2
19980310,31.0,69.0,40.9,71.5
19980311,42.0,73.0,41.0,71.8
19980312,41.0,69.0,41.2,72.1
19980313,47.0,70.0,41.4,72.4
19980314,47.0,69.0,41.6,72.7
19980315,44.0,56.0,41.8,73.0
19980316,43.0,60.0,42.0,73.3
19980317,45.0,60.0,42.1,73.6
19980318,41.0,62.0,42.3,73.9
19980319,33.0,65.0,42.5,74.2
19980320,36.0,73.0,42.7,74.5
19980321,43.0,75.0,42.8,74.8
19980322,40.0,78.0,43.0,75.1
19980323,42.0,81.0,43.2,75.4
19980324,42.0,84.0,43.3,75.7
19980325,55.0,84.0,43.5,76.0
19980326,43.0,70.0,43.7,76.3
19980327,44.0,61.0,43.8,76.6
19980328,38.0,74.0,44.0,76.9
19980329,36.0,50.0,44.2,77.2
19980330,34.0,49.0,44.3,77.4
19980331,30.0,59.0,44.5,77.7
19980401,37.0,72.0,44.7,78.0
19980402,33.0,57.0,44.9,78.3
19980403,31.0,70.0,45.1,78.5
19980404,35.0,74.0,45.2,78.8
19980405,37.0,73.0,45.4,79.1
19980406,45.0,64.0,45.6,79.3
19980407,43.0,62.0,45.8,79.6
19980408,31.0,67.0,46.0,79.9
19980409,33.0,73.0,46.2,80.1
19980410,36.0,85.0,46.4,80.4
19980411,51.0,85.0,46.6,80.6
19980412,48.0,69.0,46.9,80.9
19980413,37.0,73.0,47.1,81.1
19980414,36.0,70.0,47.3,81.3
19980415,39.0,61.0,47.5,81.6
19980416,30.0,62.0,47.8,81.8
19980417,29.0,67.0,48.0,82.1
19980418,36.0,74.0,48.2,82.3
19980419,37.0,79.0,48.5,82.6
19980420,39.0,84.0,48.7,82.8
19980421,52.0,83.0,49.0,83.0
19980422,57.0,88.0,49.3,83.3
19980423,50.0,92.0,49.5,83.5
19980424,51.0,86.0,49.8,83.8
19980425,52.0,78.0,50.0,84.0
19980426,46.0,69.0,50.3,84.3
19980427,42.0,73.0,50.6,84.6
19980428,46.0,79.0,50.9,84.8
19980429,56.0,82.0,51.1,85.1
19980430,45.0,85.0,51.4,85.4
19980501,47.0,87.0,51.7,85.7
19980502,47.0,88.0,52.0,86.0
19980503,48.0,88.0,52.3,86.3
19980504,48.0,84.0,52.5,86.6
19980505,48.0,86.0,52.8,86.9
19980506,55.0,80.0,53.1,87.2
19980507,50.0,81.0,53.4,87.6
19980508,50.0,75.0,53.7,87.9
19980509,43.0,84.0,54.0,88.3
19980510,48.0,90.0,54.3,88.6
19980511,52.0,86.0,54.6,89.0
19980512,46.0,87.0,54.9,89.4
19980513,53.0,84.0,55.2,89.7
19980514,49.0,74.0,55.5,90.1
19980515,39.0,82.0,55.7,90.5
19980516,43.0,93.0,56.0,90.9
19980517,56.0,92.0,56.3,91.3
19980518,58.0,99.0,56.6,91.7
19980519,54.0,99.0,56.9,92.1
19980520,65.0,95.0,57.2,92.6
19980521,63.0,93.0,57.6,93.0
19980522,47.0,88.0,57.9,93.4
19980523,50.0,89.0,58.2,93.8
19980524,49.0,89.0,58.5,94.2
19980525,58.0,93.0,58.8,94.6
19980526,53.0,92.0,59.1,95.1
19980527,54.0,93.0,59.4,95.5
19980528,55.0,97.0,59.7,95.9
19980529,58.0,96.0,60.1,96.3
19980530,55.0,97.0,60.4,96.7
19980531,57.0,96.0,60.7,97.1
19980601,56.0,100.0,61.1,97.5
19980602,57.0,103.0,61.4,97.8
19980603,62.0,99.0,61.7,98.2
19980604,60.0,84.0,62.1,98.5
19980605,50.0,89.0,62.4,98.9
19980606,51.0,98.0,62.7,99.2
19980607,59.0,95.0,63.1,99.5
19980608,54.0,86.0,63.4,99.8
19980609,51.0,92.0,63.7,100.1
